fechas,demanda
1/10/2021,517
1/11/2021,536
1/12/2021,575
1/1/2022,568
1/2/2022,614
1/3/2022,453
1/4/2022,572
1/5/2022,602
1/6/2022,669
1/7/2022,564
1/8/2022,623
1/9/2022,630
1/10/2022,613
1/11/2022,566
1/12/2022,599
1/1/2023,712
1/2/2023,667
1/3/2023,478
1/4/2023,676
1/5/2023,658
1/6/2023,726
1/7/2023,658
1/8/2023,684
1/9/2023,648
1/10/2023,726
1/11/2023,659
1/12/2023,693
1/1/2024,773
1/2/2024,716
1/3/2024,574
1/4/2024,791
1/5/2024,792
1/6/2024,717
1/7/2024,816
1/8/2024,727
1/9/2024,742
